pair_id,n_methods,AF2_AF3_pct,AF2_AF3_n,AF2_AF3_p,AF2_ESM_pct,AF2_ESM_n,AF2_ESM_p,AF2_MSAT_pct,AF2_MSAT_n,AF2_MSAT_p,AF2_CCMpred_pct,AF2_CCMpred_n,AF2_CCMpred_p,AF2_DDG_pct,AF2_DDG_n,AF2_DDG_p,AF2_Boltz2_pct,AF2_Boltz2_n,AF2_Boltz2_p,AF2_BioEmu_pct,AF2_BioEmu_n,AF2_BioEmu_p,AF3_ESM_pct,AF3_ESM_n,AF3_ESM_p,AF3_MSAT_pct,AF3_MSAT_n,AF3_MSAT_p,AF3_CCMpred_pct,AF3_CCMpred_n,AF3_CCMpred_p,AF3_DDG_pct,AF3_DDG_n,AF3_DDG_p,AF3_Boltz2_pct,AF3_Boltz2_n,AF3_Boltz2_p,AF3_BioEmu_pct,AF3_BioEmu_n,AF3_BioEmu_p,ESM_MSAT_pct,ESM_MSAT_n,ESM_MSAT_p,ESM_CCMpred_pct,ESM_CCMpred_n,ESM_CCMpred_p,ESM_DDG_pct,ESM_DDG_n,ESM_DDG_p,ESM_Boltz2_pct,ESM_Boltz2_n,ESM_Boltz2_p,ESM_BioEmu_pct,ESM_BioEmu_n,ESM_BioEmu_p,MSAT_CCMpred_pct,MSAT_CCMpred_n,MSAT_CCMpred_p,MSAT_DDG_pct,MSAT_DDG_n,MSAT_DDG_p,MSAT_Boltz2_pct,MSAT_Boltz2_n,MSAT_Boltz2_p,MSAT_BioEmu_pct,MSAT_BioEmu_n,MSAT_BioEmu_p,CCMpred_DDG_pct,CCMpred_DDG_n,CCMpred_DDG_p,CCMpred_Boltz2_pct,CCMpred_Boltz2_n,CCMpred_Boltz2_p,CCMpred_BioEmu_pct,CCMpred_BioEmu_n,CCMpred_BioEmu_p,DDG_Boltz2_pct,DDG_Boltz2_n,DDG_Boltz2_p,DDG_BioEmu_pct,DDG_BioEmu_n,DDG_BioEmu_p,Boltz2_BioEmu_pct,Boltz2_BioEmu_n,Boltz2_BioEmu_p,mean_concordance,mean_n_clusters,max_concordance_methods,max_concordance_pct
2namA_1uxmK,8,0.78,100.0,0.0,0.58,100.0,0.0668,0.4,20.0,0.8682,0.65,20.0,0.1318,0.58,100.0,0.0668,0.6,100.0,0.0287,0.7,100.0,0.0,0.64,100.0,0.0035,0.45,20.0,0.7488,0.65,20.0,0.1318,0.64,100.0,0.0035,0.58,100.0,0.0668,0.64,100.0,0.0035,0.75,20.0,0.0221,0.5,20.0,0.5885,0.78,100.0,0.0,0.78,100.0,0.0,0.5,100.0,0.5398,0.421,19.0,0.8206,0.65,20.0,0.1318,0.7,20.0,0.0588,0.55,20.0,0.4115,0.6,20.0,0.2512,0.45,20.0,0.7488,0.55,20.0,0.4115,0.68,100.0,0.0002,0.48,100.0,0.6915,0.6,100.0,0.0287,0.603,62.8,AF2~AF3,0.78
2p3vD_2p3vA,8,0.74,100.0,0.0,0.64,100.0,0.0035,0.444,18.0,0.7602,0.6,5.0,0.5,0.52,100.0,0.3821,,0.0,,,0.0,,0.7,100.0,0.0,0.333,18.0,0.9505,0.2,5.0,0.9632,0.56,100.0,0.1357,,0.0,,,0.0,,0.556,18.0,0.4068,0.0,5.0,0.9964,0.56,100.0,0.1357,,0.0,,,0.0,,0.4,5.0,0.8145,0.444,18.0,0.7602,,0.0,,,0.0,,0.4,5.0,0.8145,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.473,46.5,AF2~AF3,0.74
2pbkB_3njqA,8,0.375,16.0,0.8944,0.375,16.0,0.8944,1.0,1.0,1.0,,0.0,,0.375,16.0,0.8944,0.467,15.0,0.6972,0.5,16.0,0.5987,0.25,16.0,0.9878,1.0,1.0,1.0,,0.0,,0.5,16.0,0.5987,0.533,15.0,0.5,0.375,16.0,0.8944,0.0,1.0,1.0,,0.0,,0.5,16.0,0.5987,0.6,15.0,0.3028,0.5,16.0,0.5987,,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.333,15.0,0.9393,0.5,16.0,0.5987,0.533,15.0,0.5,0.51,11.5,AF2~MSAT,1.0
2qqjA_4qdsA,8,0.474,97.0,0.7288,0.474,97.0,0.7288,0.333,18.0,0.9505,0.5,6.0,0.6585,0.567,97.0,0.1115,0.547,95.0,0.2059,0.567,97.0,0.1115,0.646,96.0,0.0029,0.5,18.0,0.5932,0.333,6.0,0.8897,0.536,97.0,0.2712,0.547,95.0,0.2059,0.443,97.0,0.8885,0.588,17.0,0.3138,0.4,5.0,0.8145,0.448,96.0,0.8692,0.468,94.0,0.7649,0.406,96.0,0.9738,0.333,6.0,0.8897,0.444,18.0,0.7602,0.471,17.0,0.6862,0.278,18.0,0.9831,1.0,6.0,0.0206,0.6,5.0,0.5,0.5,6.0,0.6585,0.547,95.0,0.2059,0.515,97.0,0.4195,0.516,95.0,0.4187,0.499,56.7,CCMpred~DDG,1.0
2uy7D_5fluE,8,0.56,100.0,0.1357,0.42,100.0,0.9554,0.5,12.0,0.6136,,0.0,,0.54,100.0,0.242,0.44,100.0,0.9032,0.54,100.0,0.242,0.52,100.0,0.3821,0.667,12.0,0.1932,,0.0,,0.62,100.0,0.0107,0.6,100.0,0.0287,0.58,100.0,0.0668,0.667,12.0,0.1932,,0.0,,0.48,100.0,0.6915,0.54,100.0,0.242,0.56,100.0,0.1357,,0.0,,0.667,12.0,0.1932,0.583,12.0,0.3864,0.5,12.0,0.6136,,0.0,,,0.0,,,0.0,,0.6,100.0,0.0287,0.56,100.0,0.1357,0.58,100.0,0.0668,0.558,74.9,AF3~MSAT,0.667
2vfxL_3gmhL,8,0.62,100.0,0.0107,0.46,100.0,0.8159,0.467,15.0,0.6972,,0.0,,0.46,100.0,0.8159,0.657,99.0,0.0013,0.398,98.0,0.9831,0.4,100.0,0.9821,0.533,15.0,0.5,,0.0,,0.42,100.0,0.9554,0.566,99.0,0.1139,0.5,98.0,0.5402,0.667,15.0,0.1508,,0.0,,0.62,100.0,0.0107,0.434,99.0,0.9203,0.418,98.0,0.957,,0.0,,0.6,15.0,0.3028,0.467,15.0,0.6972,0.533,15.0,0.5,,0.0,,,0.0,,,0.0,,0.495,99.0,0.5797,0.52,98.0,0.3809,0.526,97.0,0.3423,0.512,75.0,ESM~MSAT,0.667
2wcdX_4phqA,8,0.6,10.0,0.3759,0.8,10.0,0.0569,1.0,1.0,1.0,,0.0,,0.6,10.0,0.3759,0.6,10.0,0.3759,0.6,10.0,0.3759,0.8,10.0,0.0569,0.0,1.0,1.0,,0.0,,0.2,10.0,0.9866,0.4,10.0,0.8286,0.4,10.0,0.8286,1.0,1.0,1.0,,0.0,,0.4,10.0,0.8286,0.4,10.0,0.8286,0.6,10.0,0.3759,,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.6,10.0,0.3759,0.4,10.0,0.8286,0.4,10.0,0.8286,0.562,7.4,AF2~MSAT,1.0
2z9oB_1repC,7,0.582,98.0,0.0649,0.56,100.0,0.1357,0.312,16.0,0.9599,,0.0,,0.42,100.0,0.9554,,,,0.48,100.0,0.6915,0.684,98.0,0.0002,0.625,16.0,0.2266,,0.0,,0.398,98.0,0.9831,,,,0.51,98.0,0.4598,0.5,16.0,0.5987,,0.0,,0.38,100.0,0.9938,,,,0.54,100.0,0.242,,0.0,,0.625,16.0,0.2266,,,,0.688,16.0,0.1056,,0.0,,,,,,0.0,,,,,0.46,100.0,0.8159,,,,0.518,71.5,MSAT~BioEmu,0.688
3g0hA_3ewsB,8,0.629,97.0,0.0074,0.588,97.0,0.0521,0.389,18.0,0.8807,0.286,7.0,0.9347,0.475,99.0,0.7268,0.616,99.0,0.0135,0.505,97.0,0.5,0.542,96.0,0.2375,0.556,18.0,0.4068,0.286,7.0,0.9347,0.459,98.0,0.8184,0.52,98.0,0.3809,0.521,96.0,0.3797,0.333,18.0,0.9505,0.286,7.0,0.9347,0.531,98.0,0.3068,0.51,98.0,0.4598,0.562,96.0,0.1308,0.571,7.0,0.5,0.611,18.0,0.2398,0.556,18.0,0.4068,0.5,18.0,0.5932,0.857,7.0,0.0653,0.714,7.0,0.2248,0.571,7.0,0.5,0.56,100.0,0.1357,0.633,98.0,0.0058,0.49,98.0,0.6191,0.523,57.9,CCMpred~DDG,0.857
3hdfA_3hdeA,8,0.7,100.0,0.0,0.4,100.0,0.9821,0.5,20.0,0.5885,0.438,16.0,0.7734,0.58,100.0,0.0668,0.541,98.0,0.2398,0.616,99.0,0.0135,0.5,100.0,0.5398,0.35,20.0,0.9412,0.438,16.0,0.7734,0.54,100.0,0.242,0.541,98.0,0.2398,0.616,99.0,0.0135,0.5,20.0,0.5885,0.562,16.0,0.4013,0.5,100.0,0.5398,0.418,98.0,0.957,0.343,99.0,0.9994,0.533,15.0,0.5,0.6,20.0,0.2512,0.75,20.0,0.0221,0.35,20.0,0.9412,0.438,16.0,0.7734,0.375,16.0,0.8944,0.375,16.0,0.8944,0.551,98.0,0.1816,0.566,99.0,0.1139,0.505,97.0,0.5,0.504,61.3,MSAT~Boltz2,0.75
3j7vG_3j7wB,8,0.483,60.0,0.6507,0.45,60.0,0.8169,0.25,4.0,1.0,,0.0,,0.467,60.0,0.7407,0.383,60.0,0.9736,0.492,59.0,0.6027,0.623,61.0,0.0365,0.0,4.0,1.0,,0.0,,0.574,61.0,0.1528,0.459,61.0,0.7788,0.508,59.0,0.5,0.0,4.0,1.0,,0.0,,0.377,61.0,0.9797,0.492,61.0,0.6011,0.475,59.0,0.6987,,0.0,,0.5,4.0,1.0,0.25,4.0,1.0,0.25,4.0,1.0,,0.0,,,0.0,,,0.0,,0.443,61.0,0.8472,0.373,59.0,0.9814,0.542,59.0,0.3013,0.4,44.0,AF3~ESM,0.623
3kdsG_2ce7C,8,0.52,100.0,0.3821,0.44,100.0,0.9032,0.667,18.0,0.1193,0.714,7.0,0.2248,0.52,100.0,0.3821,0.541,98.0,0.2398,0.525,99.0,0.3438,0.58,100.0,0.0668,0.556,18.0,0.4068,0.571,7.0,0.5,0.54,100.0,0.242,0.51,98.0,0.4598,0.495,99.0,0.5797,0.444,18.0,0.7602,0.143,7.0,0.9883,0.58,100.0,0.0668,0.531,98.0,0.3068,0.434,99.0,0.9203,0.667,6.0,0.3415,0.389,18.0,0.8807,0.611,18.0,0.2398,0.5,18.0,0.5932,0.0,7.0,0.9988,0.286,7.0,0.9347,0.429,7.0,0.7752,0.561,98.0,0.1332,0.556,99.0,0.1574,0.443,97.0,0.8885,0.491,58.6,AF2~CCMpred,0.714
3l5nB_2a73B,8,0.62,100.0,0.0107,0.56,100.0,0.1357,0.231,13.0,0.9867,,0.0,,0.5,100.0,0.5398,0.5,100.0,0.5398,1.0,1.0,1.0,0.5,100.0,0.5398,0.462,13.0,0.7105,,0.0,,0.54,100.0,0.242,0.44,100.0,0.9032,1.0,1.0,1.0,0.385,13.0,0.8664,,0.0,,0.34,100.0,0.9995,0.48,100.0,0.6915,0.0,1.0,1.0,,0.0,,0.615,13.0,0.2895,0.692,13.0,0.1336,,0.0,,,0.0,,,0.0,,,0.0,,0.46,100.0,0.8159,1.0,1.0,1.0,0.0,1.0,1.0,0.516,53.5,AF2~BioEmu,1.0
3l9qB_4rr2D,8,0.629,97.0,0.0074,0.485,97.0,0.6577,0.5,2.0,1.0,,0.0,,0.454,97.0,0.845,0.474,97.0,0.7288,0.474,97.0,0.7288,0.32,97.0,0.9999,1.0,1.0,1.0,,0.0,,0.577,97.0,0.0776,0.68,97.0,0.0003,0.68,97.0,0.0003,1.0,2.0,1.0,,0.0,,0.536,97.0,0.2712,0.392,97.0,0.9873,0.361,97.0,0.9978,,0.0,,0.5,2.0,1.0,0.5,2.0,1.0,1.0,2.0,1.0,,0.0,,,0.0,,,0.0,,0.454,97.0,0.845,0.536,97.0,0.2712,0.639,97.0,0.0041,0.581,69.8,AF3~MSAT,1.0
3lowA_3m1bF,8,0.72,100.0,0.0,0.66,100.0,0.001,0.3,20.0,0.9779,0.0,1.0,1.0,0.58,100.0,0.0668,0.42,100.0,0.9554,0.573,96.0,0.0923,0.78,100.0,0.0,0.2,20.0,0.9982,0.0,1.0,1.0,0.62,100.0,0.0107,0.4,100.0,0.9821,0.5,96.0,0.5406,0.4,20.0,0.8682,0.0,1.0,1.0,0.64,100.0,0.0035,0.36,100.0,0.9981,0.521,96.0,0.3797,1.0,1.0,1.0,0.5,20.0,0.5885,0.6,20.0,0.2512,0.3,20.0,0.9779,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.46,100.0,0.8159,0.521,96.0,0.3797,0.552,96.0,0.1792,0.45,57.4,MSAT~CCMpred,1.0
3lqcA_1xntA,8,0.655,84.0,0.0032,0.536,84.0,0.2927,0.833,6.0,0.1103,,0.0,,0.417,84.0,0.9491,0.488,84.0,0.6283,0.667,84.0,0.0016,0.659,85.0,0.0024,0.833,6.0,0.1103,,0.0,,0.541,85.0,0.2576,0.588,85.0,0.0644,0.624,85.0,0.015,0.667,6.0,0.3415,,0.0,,0.588,85.0,0.0644,0.482,85.0,0.6678,0.553,85.0,0.1928,,0.0,,0.5,6.0,0.6585,0.833,6.0,0.1103,1.0,6.0,0.0206,,0.0,,,0.0,,,0.0,,0.635,85.0,0.0085,0.424,85.0,0.9356,0.435,85.0,0.9035,0.617,62.2,MSAT~BioEmu,1.0
3m7pA_3ejhA,8,0.56,100.0,0.1357,0.58,100.0,0.0668,0.0,2.0,1.0,,0.0,,0.48,100.0,0.6915,0.62,100.0,0.0107,0.592,98.0,0.043,0.54,100.0,0.242,0.5,2.0,1.0,,0.0,,0.44,100.0,0.9032,0.58,100.0,0.0668,0.449,98.0,0.8668,0.5,2.0,1.0,,0.0,,0.4,100.0,0.9821,0.54,100.0,0.242,0.541,98.0,0.2398,,0.0,,1.0,2.0,1.0,0.5,2.0,1.0,1.0,2.0,1.0,,0.0,,,0.0,,,0.0,,0.48,100.0,0.6915,0.469,98.0,0.7602,0.469,98.0,0.7602,0.535,71.5,MSAT~DDG,1.0
3meeA_4b3oB,8,0.571,98.0,0.0946,0.408,98.0,0.9725,0.6,10.0,0.3759,,0.0,,0.439,98.0,0.9054,0.49,98.0,0.6191,0.636,22.0,0.1432,0.58,100.0,0.0668,0.7,10.0,0.1714,,0.0,,0.44,100.0,0.9032,0.48,100.0,0.6915,0.545,22.0,0.4156,0.6,10.0,0.3759,,0.0,,0.44,100.0,0.9032,0.54,100.0,0.242,0.545,22.0,0.4156,,0.0,,0.4,10.0,0.8286,0.3,10.0,0.9431,,0.0,,,0.0,,,0.0,,,0.0,,0.62,100.0,0.0107,0.591,22.0,0.2612,0.591,22.0,0.2612,0.526,57.6,AF3~MSAT,0.7
3mkoA_5ineA,8,0.714,14.0,0.0907,0.429,14.0,0.7887,0.0,1.0,1.0,,0.0,,0.429,14.0,0.7887,0.429,14.0,0.7887,0.5,12.0,0.6136,0.429,14.0,0.7887,1.0,1.0,1.0,,0.0,,0.286,14.0,0.9693,0.714,14.0,0.0907,0.25,12.0,0.9783,1.0,1.0,1.0,,0.0,,0.857,14.0,0.0081,0.714,14.0,0.0907,0.25,12.0,0.9783,,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.571,14.0,0.3946,0.417,12.0,0.8068,0.0,12.0,0.9999,0.476,9.8,AF3~MSAT,1.0
3r9jC_2kxoA,8,0.7,100.0,0.0,0.54,100.0,0.242,0.429,7.0,0.7752,0.0,1.0,1.0,0.44,100.0,0.9032,0.64,100.0,0.0035,0.68,100.0,0.0002,0.6,100.0,0.0287,0.714,7.0,0.2248,0.0,1.0,1.0,0.42,100.0,0.9554,0.56,100.0,0.1357,0.66,100.0,0.001,0.714,7.0,0.2248,1.0,1.0,1.0,0.66,100.0,0.001,0.62,100.0,0.0107,0.58,100.0,0.0668,1.0,1.0,1.0,0.143,7.0,0.9883,0.571,7.0,0.5,0.571,7.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.6,100.0,0.0287,0.64,100.0,0.0035,0.66,100.0,0.001,0.505,55.3,ESM~CCMpred,1.0
3t5oA_4a5wB,8,0.562,48.0,0.2352,0.449,49.0,0.8043,0.5,2.0,1.0,,0.0,,0.48,50.0,0.6643,0.56,50.0,0.2398,0.375,24.0,0.9235,0.362,47.0,0.9794,0.5,2.0,1.0,,0.0,,0.625,48.0,0.0562,0.562,48.0,0.2352,0.609,23.0,0.2021,0.5,2.0,1.0,,0.0,,0.51,49.0,0.5,0.49,49.0,0.6125,0.391,23.0,0.8945,,0.0,,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,0.0,,,0.0,,,0.0,,0.56,50.0,0.2398,0.458,24.0,0.7299,0.583,24.0,0.2701,0.527,29.4,MSAT~Boltz2,1.0
3v0tA_3uyiA,8,0.561,98.0,0.1332,0.485,99.0,0.6562,0.55,20.0,0.4115,0.55,20.0,0.4115,0.5,100.0,0.5398,0.596,99.0,0.0352,0.561,98.0,0.1332,0.526,97.0,0.3423,0.5,20.0,0.5885,0.7,20.0,0.0588,0.52,98.0,0.3809,0.423,97.0,0.9479,0.469,96.0,0.7625,0.45,20.0,0.7488,0.85,20.0,0.0018,0.525,99.0,0.3438,0.51,98.0,0.4598,0.505,97.0,0.5,0.4,20.0,0.8682,0.25,20.0,0.993,0.526,19.0,0.5,0.55,20.0,0.4115,0.75,20.0,0.0221,0.579,19.0,0.3232,0.65,20.0,0.1318,0.505,99.0,0.5,0.459,98.0,0.8184,0.567,97.0,0.1115,0.536,61.7,ESM~CCMpred,0.85
3ztjE_5hmgA,8,0.578,45.0,0.1855,0.4,45.0,0.932,,0.0,,,0.0,,0.489,45.0,0.6172,0.5,44.0,0.5599,0.533,45.0,0.3828,0.444,45.0,0.8145,,0.0,,,0.0,,0.467,45.0,0.7245,0.591,44.0,0.1456,0.467,45.0,0.7245,,0.0,,,0.0,,0.489,45.0,0.6172,0.409,44.0,0.9126,0.333,45.0,0.9915,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.489,45.0,0.6172,0.644,45.0,0.0368,0.409,44.0,0.9126,0.483,44.7,DDG~BioEmu,0.644
3zxgB_5ec5P,6,1.0,3.0,1.0,0.0,3.0,1.0,,,,,,,0.333,3.0,1.0,0.333,3.0,1.0,0.5,4.0,1.0,0.333,3.0,1.0,,,,,,,0.5,4.0,1.0,0.5,4.0,1.0,0.333,3.0,1.0,,,,,,,0.667,3.0,1.0,1.0,3.0,1.0,0.333,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,4.0,1.0,1.0,3.0,1.0,0.333,3.0,1.0,0.511,3.3,AF2~AF3,1.0
4aalA_4aanA,8,0.449,98.0,0.8668,0.52,98.0,0.3809,0.412,17.0,0.834,0.583,12.0,0.3864,0.49,98.0,0.6191,0.378,98.0,0.9942,0.469,98.0,0.7602,0.48,100.0,0.6915,0.333,18.0,0.9505,0.462,13.0,0.7105,0.54,100.0,0.242,0.48,100.0,0.6915,0.52,100.0,0.3821,0.444,18.0,0.7602,0.692,13.0,0.1336,0.62,100.0,0.0107,0.5,100.0,0.5398,0.48,100.0,0.6915,0.615,13.0,0.2895,0.5,18.0,0.5932,0.611,18.0,0.2398,0.444,18.0,0.7602,0.615,13.0,0.2895,0.462,13.0,0.7105,0.615,13.0,0.2895,0.5,100.0,0.5398,0.52,100.0,0.3821,0.46,100.0,0.8159,0.507,60.2,ESM~CCMpred,0.692
4cmqB_4zt0C,6,0.551,98.0,0.1816,,,,0.6,5.0,0.5,,0.0,,0.48,98.0,0.6932,0.469,98.0,0.7602,,,,,,,1.0,5.0,0.0368,,0.0,,0.44,100.0,0.9032,0.44,100.0,0.9032,,,,,,,,,,,,,,,,,,,,0.0,,0.2,5.0,0.9632,0.2,5.0,0.9632,,,,,0.0,,,0.0,,,,,0.52,100.0,0.3821,,,,,,,0.49,61.4,AF3~MSAT,1.0
4dxrA_4dxtA,8,0.5,100.0,0.5398,0.56,100.0,0.1357,0.688,16.0,0.1056,,0.0,,0.6,100.0,0.0287,0.433,97.0,0.9224,0.5,98.0,0.5402,0.54,100.0,0.242,0.75,16.0,0.0401,,0.0,,0.62,100.0,0.0107,0.588,97.0,0.0521,0.592,98.0,0.043,0.438,16.0,0.7734,,0.0,,0.72,100.0,0.0,0.557,97.0,0.155,0.531,98.0,0.3068,,0.0,,0.625,16.0,0.2266,0.562,16.0,0.4013,0.812,16.0,0.0122,,0.0,,,0.0,,,0.0,,0.474,97.0,0.7288,0.429,98.0,0.9351,0.6,95.0,0.0324,0.577,74.8,MSAT~BioEmu,0.812
4g0dZ_4fu4C,6,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.667,1.0,AF2~AF3,1.0
4gqcB_4gqcC,8,0.7,100.0,0.0,0.4,100.0,0.9821,0.55,20.0,0.4115,0.5,18.0,0.5932,0.54,100.0,0.242,,0.0,,,0.0,,0.54,100.0,0.242,0.4,20.0,0.8682,0.667,18.0,0.1193,0.58,100.0,0.0668,,0.0,,,0.0,,0.65,20.0,0.1318,0.444,18.0,0.7602,0.52,100.0,0.3821,,0.0,,,0.0,,0.176,17.0,0.9982,0.4,20.0,0.8682,,0.0,,,0.0,,0.611,18.0,0.2398,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.512,51.3,AF2~AF3,0.7
4h2aA_3j9cA,8,0.667,60.0,0.0071,0.533,60.0,0.3493,0.5,2.0,1.0,,0.0,,0.467,60.0,0.7407,0.533,60.0,0.3493,0.406,32.0,0.892,0.367,60.0,0.9859,0.5,2.0,1.0,,0.0,,0.333,60.0,0.9966,0.567,60.0,0.1831,0.406,32.0,0.892,1.0,2.0,1.0,,0.0,,0.633,60.0,0.0264,0.467,60.0,0.7407,0.406,32.0,0.892,,0.0,,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.3,60.0,0.9994,0.406,32.0,0.892,0.531,32.0,0.4298,0.525,36.7,ESM~MSAT,1.0
4n9wA_4nc9C,8,0.6,100.0,0.0287,0.4,100.0,0.9821,0.5,16.0,0.5987,0.0,2.0,1.0,0.48,100.0,0.6915,0.32,100.0,0.9999,0.351,97.0,0.9988,0.5,100.0,0.5398,0.562,16.0,0.4013,0.5,2.0,1.0,0.48,100.0,0.6915,0.38,100.0,0.9938,0.454,97.0,0.845,0.688,16.0,0.1056,0.5,2.0,1.0,0.52,100.0,0.3821,0.66,100.0,0.001,0.67,97.0,0.0006,0.0,2.0,1.0,0.438,16.0,0.7734,0.5,16.0,0.5987,0.625,16.0,0.2266,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,0.4,100.0,0.9821,0.505,97.0,0.5,0.701,97.0,0.0001,0.473,57.0,Boltz2~BioEmu,0.701
4o01D_4o0pA,8,0.5,100.0,0.5398,0.58,100.0,0.0668,0.429,14.0,0.7887,,0.0,,0.54,100.0,0.242,0.459,98.0,0.8184,0.596,99.0,0.0352,0.66,100.0,0.001,0.5,14.0,0.6054,,0.0,,0.6,100.0,0.0287,0.469,98.0,0.7602,0.606,99.0,0.0222,0.714,14.0,0.0907,,0.0,,0.54,100.0,0.242,0.51,98.0,0.4598,0.566,99.0,0.1139,,0.0,,0.143,14.0,0.9984,0.692,13.0,0.1336,0.643,14.0,0.2113,,0.0,,,0.0,,,0.0,,0.449,98.0,0.8668,0.444,99.0,0.8861,0.454,97.0,0.845,0.528,74.7,ESM~MSAT,0.714
4ow6B_4ae0A,6,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AF2~AF3,1.0
4pyjA_4pyiA,8,0.684,98.0,0.0002,0.54,100.0,0.242,0.556,18.0,0.4068,0.444,9.0,0.7475,0.56,100.0,0.1357,0.566,99.0,0.1139,0.571,98.0,0.0946,0.673,98.0,0.0004,0.647,17.0,0.166,0.375,8.0,0.8556,0.469,98.0,0.7602,0.546,97.0,0.2083,0.594,96.0,0.0414,0.611,18.0,0.2398,0.333,9.0,0.9088,0.42,100.0,0.9554,0.616,99.0,0.0135,0.5,98.0,0.5402,0.25,8.0,0.9615,0.444,18.0,0.7602,0.611,18.0,0.2398,0.333,18.0,0.9505,0.778,9.0,0.0912,0.444,9.0,0.7475,0.667,9.0,0.2525,0.475,99.0,0.7268,0.449,98.0,0.8668,0.66,97.0,0.0012,0.529,58.7,CCMpred~DDG,0.778
4q79F_4uv2D,8,0.566,99.0,0.1139,0.444,99.0,0.8861,0.778,18.0,0.0169,,0.0,,0.566,99.0,0.1139,0.606,99.0,0.0222,0.577,97.0,0.0776,0.44,100.0,0.9032,0.389,18.0,0.8807,,0.0,,0.62,100.0,0.0107,0.6,100.0,0.0287,0.612,98.0,0.0169,0.389,18.0,0.8807,,0.0,,0.48,100.0,0.6915,0.44,100.0,0.9032,0.541,98.0,0.2398,,0.0,,0.5,18.0,0.5932,0.5,18.0,0.5932,0.5,18.0,0.5932,,0.0,,,0.0,,,0.0,,0.48,100.0,0.6915,0.551,98.0,0.1816,0.582,98.0,0.0649,0.531,75.9,AF2~MSAT,0.778
4qhhA_4qhfA,8,0.707,82.0,0.0001,0.366,82.0,0.9945,0.667,3.0,1.0,,0.0,,0.59,83.0,0.0622,0.494,83.0,0.5869,0.711,83.0,0.0001,0.222,81.0,1.0,0.333,3.0,1.0,,0.0,,0.463,82.0,0.7802,0.354,82.0,0.9971,0.867,83.0,0.0,0.0,3.0,1.0,,0.0,,0.61,82.0,0.0302,0.646,82.0,0.0055,0.22,82.0,1.0,,0.0,,0.0,3.0,1.0,0.5,2.0,1.0,0.667,3.0,1.0,,0.0,,,0.0,,,0.0,,0.566,83.0,0.1362,0.446,83.0,0.8638,0.41,83.0,0.9605,0.469,59.7,AF3~BioEmu,0.867
4rmbB_4rmbA,6,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,0.0,,,0.0,,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,0.0,,,0.0,,,,,,,,1.0,2.0,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,1.0,2.0,AF2~AF3,1.0
4rwqB_4rwnA,8,0.542,96.0,0.2375,0.562,96.0,0.1308,0.375,8.0,0.8556,,0.0,,0.521,96.0,0.3797,0.521,96.0,0.3797,0.579,95.0,0.0754,0.583,96.0,0.0629,0.875,8.0,0.0385,,0.0,,0.583,96.0,0.0629,0.583,96.0,0.0629,0.547,95.0,0.2059,0.5,8.0,0.6382,,0.0,,0.688,96.0,0.0002,0.458,96.0,0.8208,0.537,95.0,0.2691,,0.0,,0.875,8.0,0.0385,0.625,8.0,0.3618,0.5,8.0,0.6382,,0.0,,,0.0,,,0.0,,0.542,96.0,0.2375,0.558,95.0,0.1525,0.484,95.0,0.6592,0.573,70.6,AF3~MSAT,0.875
