FoldPair,File,recall_only_fold1,recall_only_fold2,cluster_num
4rwqB_4rwnA,msa_t__ShallowMsa_016.npy,0.02,0.04,016
4rwqB_4rwnA,msa_t__ShallowMsa_012.npy,0,0,012
4rwqB_4rwnA,msa_t__ShallowMsa_006.npy,0,0.03,006
4rwqB_4rwnA,msa_t__ShallowMsa_007.npy,0.04,0.04,007
4rwqB_4rwnA,msa_t__ShallowMsa_013.npy,0.06,0.06,013
4rwqB_4rwnA,msa_t__ShallowMsa_005.npy,0.03,0.01,005
4rwqB_4rwnA,msa_t__ShallowMsa_011.npy,0.07,0.14,011
4rwqB_4rwnA,msa_t__ShallowMsa_010.npy,0.02,0.04,010
4rwqB_4rwnA,msa_t__ShallowMsa_004.npy,0,0,004
4rwqB_4rwnA,msa_t__ShallowMsa_021.npy,0,0.01,021
4rwqB_4rwnA,msa_t__ShallowMsa_009.npy,0.04,0.02,009
4rwqB_4rwnA,msa_t__ShallowMsa_008.npy,0.04,0.07,008
4rwqB_4rwnA,msa_t__ShallowMsa_020.npy,0.04,0.06,020
4rwqB_4rwnA,msa_t__ShallowMsa_022.npy,0,0,022
4rwqB_4rwnA,msa_t__ShallowMsa_023.npy,0.04,0.05,023
4rwqB_4rwnA,msa_t__ShallowMsa_018.npy,0.03,0.01,018
4rwqB_4rwnA,msa_t__ShallowMsa_024.npy,0,0.03,024
4rwqB_4rwnA,msa_t__ShallowMsa_025.npy,0.01,0.02,025
4rwqB_4rwnA,msa_t__ShallowMsa_019.npy,0,0,019
3kdsG_2ce7C,msa_t__ShallowMsa_000.npy,0.02,0.02,000
3kdsG_2ce7C,msa_t__ShallowMsa_014.npy,0.05,0.04,014
3kdsG_2ce7C,msa_t__ShallowMsa_028.npy,0.03,0.03,028
3kdsG_2ce7C,msa_t__ShallowMsa_029.npy,0.03,0.04,029
3kdsG_2ce7C,msa_t__ShallowMsa_015.npy,0.07,0.06,015
3kdsG_2ce7C,msa_t__ShallowMsa_001.npy,0.03,0.04,001
3kdsG_2ce7C,msa_t__ShallowMsa_017.npy,0.05,0.04,017
3kdsG_2ce7C,msa_t__ShallowMsa_003.npy,0.03,0.03,003
3kdsG_2ce7C,msa_t__ShallowMsa_002.npy,0.08,0.06,002
3kdsG_2ce7C,msa_t__ShallowMsa_016.npy,0.07,0.05,016
3kdsG_2ce7C,msa_t__ShallowMsa_012.npy,0.05,0.04,012
3kdsG_2ce7C,msa_t__ShallowMsa_006.npy,0.05,0.04,006
3kdsG_2ce7C,msa_t__ShallowMsa_007.npy,0.06,0.05,007
3kdsG_2ce7C,msa_t__ShallowMsa_013.npy,0.06,0.06,013
3kdsG_2ce7C,msa_t__ShallowMsa_039.npy,0.05,0.06,039
3kdsG_2ce7C,msa_t__ShallowMsa_005.npy,0.06,0.04,005
3kdsG_2ce7C,msa_t__ShallowMsa_011.npy,0.02,0.03,011
3kdsG_2ce7C,msa_t__ShallowMsa_010.npy,0.04,0.05,010
3kdsG_2ce7C,msa_t__ShallowMsa_004.npy,0.06,0.08,004
3kdsG_2ce7C,msa_t__ShallowMsa_038.npy,0.05,0.05,038
3kdsG_2ce7C,msa_t__ShallowMsa_063.npy,0.03,0.04,063
3kdsG_2ce7C,msa_t__ShallowMsa_077.npy,0.07,0.07,077
3kdsG_2ce7C,msa_t__ShallowMsa_088.npy,0.05,0.04,088
3kdsG_2ce7C,msa_t__ShallowMsa_103.npy,0.06,0.05,103
3kdsG_2ce7C,msa_t__ShallowMsa_102.npy,0.03,0.03,102
3kdsG_2ce7C,msa_t__ShallowMsa_089.npy,0.05,0.05,089
3kdsG_2ce7C,msa_t__ShallowMsa_076.npy,0.03,0.04,076
3kdsG_2ce7C,msa_t__ShallowMsa_062.npy,0.05,0.03,062
3kdsG_2ce7C,msa_t__ShallowMsa_074.npy,0.06,0.05,074
3kdsG_2ce7C,msa_t__ShallowMsa_060.npy,0.07,0.06,060
3kdsG_2ce7C,msa_t__ShallowMsa_048.npy,0.06,0.07,048
3kdsG_2ce7C,msa_t__ShallowMsa_100.npy,0.04,0.04,100
3kdsG_2ce7C,msa_t__ShallowMsa_101.npy,0.04,0.03,101
3kdsG_2ce7C,msa_t__ShallowMsa_049.npy,0.02,0.02,049
3kdsG_2ce7C,msa_t__ShallowMsa_061.npy,0.05,0.04,061
3kdsG_2ce7C,msa_t__ShallowMsa_075.npy,0.03,0.03,075
3kdsG_2ce7C,msa_t__ShallowMsa_059.npy,0.04,0.05,059
3kdsG_2ce7C,msa_t__ShallowMsa_071.npy,0.06,0.06,071
3kdsG_2ce7C,msa_t__ShallowMsa_065.npy,0.07,0.07,065
3kdsG_2ce7C,msa_t__ShallowMsa_105.npy,0.05,0.05,105
3kdsG_2ce7C,msa_t__ShallowMsa_110.npy,0.06,0.07,110
3kdsG_2ce7C,msa_t__ShallowMsa_104.npy,0.03,0.03,104
3kdsG_2ce7C,msa_t__ShallowMsa_064.npy,0.06,0.06,064
3kdsG_2ce7C,msa_t__ShallowMsa_070.npy,0.06,0.05,070
3kdsG_2ce7C,msa_t__ShallowMsa_058.npy,0.05,0.06,058
3kdsG_2ce7C,msa_t__ShallowMsa_066.npy,0.07,0.06,066
3kdsG_2ce7C,msa_t__ShallowMsa_072.npy,0.05,0.03,072
3kdsG_2ce7C,msa_t__ShallowMsa_099.npy,0.04,0.03,099
3kdsG_2ce7C,msa_t__ShallowMsa_106.npy,0.04,0.04,106
3kdsG_2ce7C,msa_t__ShallowMsa_107.npy,0.05,0.04,107
3kdsG_2ce7C,msa_t__ShallowMsa_098.npy,0.05,0.05,098
3kdsG_2ce7C,msa_t__ShallowMsa_073.npy,0.04,0.04,073
3kdsG_2ce7C,msa_t__ShallowMsa_067.npy,0.04,0.05,067
3kdsG_2ce7C,msa_t__ShallowMsa_042.npy,0.05,0.05,042
3kdsG_2ce7C,msa_t__ShallowMsa_056.npy,0.04,0.04,056
3kdsG_2ce7C,msa_t__ShallowMsa_081.npy,0.05,0.03,081
3kdsG_2ce7C,msa_t__ShallowMsa_095.npy,0.05,0.04,095
3kdsG_2ce7C,msa_t__ShallowMsa_094.npy,0.05,0.04,094
3kdsG_2ce7C,msa_t__ShallowMsa_080.npy,0.05,0.05,080
3kdsG_2ce7C,msa_t__ShallowMsa_057.npy,0.06,0.03,057
3kdsG_2ce7C,msa_t__ShallowMsa_043.npy,0.01,0.01,043
3kdsG_2ce7C,msa_t__ShallowMsa_055.npy,0.05,0.06,055
3kdsG_2ce7C,msa_t__ShallowMsa_041.npy,0.03,0.03,041
3kdsG_2ce7C,msa_t__ShallowMsa_069.npy,0.05,0.04,069
3kdsG_2ce7C,msa_t__ShallowMsa_096.npy,0.05,0.04,096
3kdsG_2ce7C,msa_t__ShallowMsa_082.npy,0.04,0.04,082
3kdsG_2ce7C,msa_t__ShallowMsa_109.npy,0.05,0.05,109
3kdsG_2ce7C,msa_t__ShallowMsa_108.npy,0.05,0.04,108
3kdsG_2ce7C,msa_t__ShallowMsa_083.npy,0.06,0.06,083
3kdsG_2ce7C,msa_t__ShallowMsa_097.npy,0.04,0.03,097
3kdsG_2ce7C,msa_t__ShallowMsa_068.npy,0.04,0.04,068
3kdsG_2ce7C,msa_t__ShallowMsa_040.npy,0.05,0.04,040
3kdsG_2ce7C,msa_t__ShallowMsa_054.npy,0.05,0.04,054
3kdsG_2ce7C,msa_t__ShallowMsa_078.npy,0.05,0.04,078
3kdsG_2ce7C,msa_t__ShallowMsa_050.npy,0.07,0.06,050
3kdsG_2ce7C,msa_t__ShallowMsa_044.npy,0.06,0.04,044
3kdsG_2ce7C,msa_t__ShallowMsa_093.npy,0.03,0.03,093
3kdsG_2ce7C,msa_t__ShallowMsa_087.npy,0.05,0.05,087
3kdsG_2ce7C,msa_t__ShallowMsa_086.npy,0.04,0.04,086
3kdsG_2ce7C,msa_t__ShallowMsa_092.npy,0.05,0.06,092
3kdsG_2ce7C,msa_t__ShallowMsa_045.npy,0.05,0.05,045
3kdsG_2ce7C,msa_t__ShallowMsa_051.npy,0.05,0.04,051
3kdsG_2ce7C,msa_t__ShallowMsa_079.npy,0.06,0.05,079
3kdsG_2ce7C,msa_t__ShallowMsa_047.npy,0.04,0.03,047
3kdsG_2ce7C,msa_t__ShallowMsa_053.npy,0.06,0.05,053
3kdsG_2ce7C,msa_t__ShallowMsa_084.npy,0.04,0.04,084
3kdsG_2ce7C,msa_t__ShallowMsa_090.npy,0.05,0.04,090
3kdsG_2ce7C,msa_t__ShallowMsa_091.npy,0.05,0.04,091
3kdsG_2ce7C,msa_t__ShallowMsa_085.npy,0.06,0.06,085
3kdsG_2ce7C,msa_t__ShallowMsa_052.npy,0.04,0.05,052
3kdsG_2ce7C,msa_t__ShallowMsa_046.npy,0.05,0.07,046
3kdsG_2ce7C,msa_t__ShallowMsa_021.npy,0.04,0.03,021
3kdsG_2ce7C,msa_t__ShallowMsa_035.npy,0.06,0.05,035
3kdsG_2ce7C,msa_t__ShallowMsa_009.npy,0.06,0.07,009
3kdsG_2ce7C,msa_t__ShallowMsa_008.npy,0.04,0.05,008
3kdsG_2ce7C,msa_t__ShallowMsa_034.npy,0.04,0.03,034
3kdsG_2ce7C,msa_t__ShallowMsa_020.npy,0.05,0.04,020
3kdsG_2ce7C,msa_t__ShallowMsa_036.npy,0.05,0.04,036
3kdsG_2ce7C,msa_t__ShallowMsa_022.npy,0.04,0.04,022
3kdsG_2ce7C,msa_t__ShallowMsa_023.npy,0.03,0.03,023
3kdsG_2ce7C,msa_t__ShallowMsa_037.npy,0.05,0.06,037
3kdsG_2ce7C,msa_t__ShallowMsa_033.npy,0.03,0.04,033
3kdsG_2ce7C,msa_t__ShallowMsa_027.npy,0.05,0.04,027
3kdsG_2ce7C,msa_t__ShallowMsa_026.npy,0.04,0.02,026
3kdsG_2ce7C,msa_t__ShallowMsa_032.npy,0.04,0.03,032
3kdsG_2ce7C,msa_t__ShallowMsa_018.npy,0.04,0.03,018
3kdsG_2ce7C,msa_t__ShallowMsa_024.npy,0.06,0.05,024
3kdsG_2ce7C,msa_t__ShallowMsa_030.npy,0.05,0.04,030
3kdsG_2ce7C,msa_t__ShallowMsa_031.npy,0.06,0.05,031
3kdsG_2ce7C,msa_t__ShallowMsa_025.npy,0.07,0.06,025
3kdsG_2ce7C,msa_t__ShallowMsa_019.npy,0.05,0.03,019
3r9jC_2kxoA,msa_t__ShallowMsa_000.npy,0.16,0.01,000
3r9jC_2kxoA,msa_t__ShallowMsa_014.npy,0.1,0,014
3r9jC_2kxoA,msa_t__ShallowMsa_028.npy,0.1,0.03,028
3r9jC_2kxoA,msa_t__ShallowMsa_029.npy,0.16,0.01,029
3r9jC_2kxoA,msa_t__ShallowMsa_015.npy,0.15,0,015
3r9jC_2kxoA,msa_t__ShallowMsa_001.npy,0.18,0.01,001
3r9jC_2kxoA,msa_t__ShallowMsa_017.npy,0.21,0.03,017
3r9jC_2kxoA,msa_t__ShallowMsa_003.npy,0.22,0.01,003
3r9jC_2kxoA,msa_t__ShallowMsa_002.npy,0.13,0.06,002
3r9jC_2kxoA,msa_t__ShallowMsa_016.npy,0.18,0.01,016
3r9jC_2kxoA,msa_t__ShallowMsa_012.npy,0.13,0.01,012
3r9jC_2kxoA,msa_t__ShallowMsa_006.npy,0.06,0.02,006
3r9jC_2kxoA,msa_t__ShallowMsa_007.npy,0.24,0.02,007
3r9jC_2kxoA,msa_t__ShallowMsa_013.npy,0.21,0.02,013
3r9jC_2kxoA,msa_t__ShallowMsa_039.npy,0.07,0.02,039
3r9jC_2kxoA,msa_t__ShallowMsa_005.npy,0.09,0,005
3r9jC_2kxoA,msa_t__ShallowMsa_011.npy,0.07,0.01,011
3r9jC_2kxoA,msa_t__ShallowMsa_010.npy,0.18,0.03,010
3r9jC_2kxoA,msa_t__ShallowMsa_004.npy,0.09,0.01,004
3r9jC_2kxoA,msa_t__ShallowMsa_038.npy,0.09,0,038
3r9jC_2kxoA,msa_t__ShallowMsa_063.npy,0.13,0.01,063
3r9jC_2kxoA,msa_t__ShallowMsa_077.npy,0.06,0.01,077
3r9jC_2kxoA,msa_t__ShallowMsa_076.npy,0.09,0,076
3r9jC_2kxoA,msa_t__ShallowMsa_062.npy,0.16,0,062
3r9jC_2kxoA,msa_t__ShallowMsa_074.npy,0.13,0.01,074
3r9jC_2kxoA,msa_t__ShallowMsa_060.npy,0.03,0.02,060
3r9jC_2kxoA,msa_t__ShallowMsa_048.npy,0.13,0.01,048
3r9jC_2kxoA,msa_t__ShallowMsa_049.npy,0.19,0,049
3r9jC_2kxoA,msa_t__ShallowMsa_061.npy,0.1,0.03,061
3r9jC_2kxoA,msa_t__ShallowMsa_075.npy,0.13,0,075
3r9jC_2kxoA,msa_t__ShallowMsa_059.npy,0.12,0,059
3r9jC_2kxoA,msa_t__ShallowMsa_071.npy,0.09,0,071
3r9jC_2kxoA,msa_t__ShallowMsa_065.npy,0.12,0,065
3r9jC_2kxoA,msa_t__ShallowMsa_064.npy,0.16,0,064
3r9jC_2kxoA,msa_t__ShallowMsa_070.npy,0.07,0,070
3r9jC_2kxoA,msa_t__ShallowMsa_058.npy,0.18,0,058
3r9jC_2kxoA,msa_t__ShallowMsa_066.npy,0.21,0.01,066
3r9jC_2kxoA,msa_t__ShallowMsa_072.npy,0.06,0,072
3r9jC_2kxoA,msa_t__ShallowMsa_073.npy,0.1,0,073
3r9jC_2kxoA,msa_t__ShallowMsa_067.npy,0.25,0.01,067
3r9jC_2kxoA,msa_t__ShallowMsa_042.npy,0.16,0.01,042
3r9jC_2kxoA,msa_t__ShallowMsa_056.npy,0.03,0.03,056
3r9jC_2kxoA,msa_t__ShallowMsa_081.npy,0.06,0,081
3r9jC_2kxoA,msa_t__ShallowMsa_080.npy,0.03,0,080
3r9jC_2kxoA,msa_t__ShallowMsa_057.npy,0.09,0.06,057
3r9jC_2kxoA,msa_t__ShallowMsa_043.npy,0.12,0.01,043
3r9jC_2kxoA,msa_t__ShallowMsa_055.npy,0.16,0,055
3r9jC_2kxoA,msa_t__ShallowMsa_041.npy,0.04,0.01,041
3r9jC_2kxoA,msa_t__ShallowMsa_069.npy,0.13,0,069
3r9jC_2kxoA,msa_t__ShallowMsa_082.npy,0.13,0,082
3r9jC_2kxoA,msa_t__ShallowMsa_083.npy,0.19,0,083
3r9jC_2kxoA,msa_t__ShallowMsa_068.npy,0.29,0.05,068
3r9jC_2kxoA,msa_t__ShallowMsa_040.npy,0.1,0.01,040
3r9jC_2kxoA,msa_t__ShallowMsa_054.npy,0.12,0,054
3r9jC_2kxoA,msa_t__ShallowMsa_078.npy,0.22,0,078
3r9jC_2kxoA,msa_t__ShallowMsa_050.npy,0.09,0.05,050
3r9jC_2kxoA,msa_t__ShallowMsa_044.npy,0.12,0.03,044
3r9jC_2kxoA,msa_t__ShallowMsa_045.npy,0.09,0,045
3r9jC_2kxoA,msa_t__ShallowMsa_051.npy,0.16,0.06,051
3r9jC_2kxoA,msa_t__ShallowMsa_079.npy,0.13,0,079
3r9jC_2kxoA,msa_t__ShallowMsa_047.npy,0.22,0.02,047
3r9jC_2kxoA,msa_t__ShallowMsa_053.npy,0.31,0.01,053
3r9jC_2kxoA,msa_t__ShallowMsa_052.npy,0.22,0.03,052
3r9jC_2kxoA,msa_t__ShallowMsa_046.npy,0.15,0,046
3r9jC_2kxoA,msa_t__ShallowMsa_021.npy,0.12,0.01,021
3r9jC_2kxoA,msa_t__ShallowMsa_035.npy,0.1,0,035
3r9jC_2kxoA,msa_t__ShallowMsa_009.npy,0.1,0.03,009
3r9jC_2kxoA,msa_t__ShallowMsa_008.npy,0.09,0.03,008
3r9jC_2kxoA,msa_t__ShallowMsa_034.npy,0.19,0,034
3r9jC_2kxoA,msa_t__ShallowMsa_020.npy,0.09,0.02,020
3r9jC_2kxoA,msa_t__ShallowMsa_036.npy,0.09,0.01,036
3r9jC_2kxoA,msa_t__ShallowMsa_022.npy,0.18,0.07,022
3r9jC_2kxoA,msa_t__ShallowMsa_023.npy,0.09,0.01,023
3r9jC_2kxoA,msa_t__ShallowMsa_037.npy,0.16,0.01,037
3r9jC_2kxoA,msa_t__ShallowMsa_033.npy,0.16,0.02,033
3r9jC_2kxoA,msa_t__ShallowMsa_027.npy,0.06,0,027
3r9jC_2kxoA,msa_t__ShallowMsa_026.npy,0.04,0,026
3r9jC_2kxoA,msa_t__ShallowMsa_032.npy,0.26,0.01,032
3r9jC_2kxoA,msa_t__ShallowMsa_018.npy,0.15,0,018
3r9jC_2kxoA,msa_t__ShallowMsa_024.npy,0.1,0,024
3r9jC_2kxoA,msa_t__ShallowMsa_030.npy,0.12,0.02,030
3r9jC_2kxoA,msa_t__ShallowMsa_031.npy,0.12,0.01,031
3r9jC_2kxoA,msa_t__ShallowMsa_025.npy,0.19,0.01,025
3r9jC_2kxoA,msa_t__ShallowMsa_019.npy,0.07,0.01,019
5l35G_5l35D,msa_t__ShallowMsa_000.npy,0.02,0.04,000
5l35G_5l35D,msa_t__ShallowMsa_001.npy,0.09,0.18,001
5l35G_5l35D,msa_t__ShallowMsa_002.npy,0.05,0.14,002
1fzpD_2frhA,msa_t__ShallowMsa_000.npy,0.05,0.02,000
1fzpD_2frhA,msa_t__ShallowMsa_001.npy,0.11,0.04,001
1fzpD_2frhA,msa_t__ShallowMsa_003.npy,0.16,0.05,003
1fzpD_2frhA,msa_t__ShallowMsa_002.npy,0.12,0.09,002
1fzpD_2frhA,msa_t__ShallowMsa_006.npy,0.1,0.03,006
1fzpD_2frhA,msa_t__ShallowMsa_007.npy,0.07,0.06,007
1fzpD_2frhA,msa_t__ShallowMsa_005.npy,0.07,0.02,005
1fzpD_2frhA,msa_t__ShallowMsa_010.npy,0.12,0.04,010
1fzpD_2frhA,msa_t__ShallowMsa_004.npy,0.15,0.01,004
1fzpD_2frhA,msa_t__ShallowMsa_009.npy,0.18,0.05,009
1fzpD_2frhA,msa_t__ShallowMsa_008.npy,0.13,0.05,008
2kkwA_2n0aD,msa_t__ShallowMsa_000.npy,0.26,0.14,000
2kkwA_2n0aD,msa_t__ShallowMsa_014.npy,0.04,0.05,014
2kkwA_2n0aD,msa_t__ShallowMsa_015.npy,0.04,0.02,015
2kkwA_2n0aD,msa_t__ShallowMsa_001.npy,0.17,0.02,001
2kkwA_2n0aD,msa_t__ShallowMsa_017.npy,0.05,0.07,017
2kkwA_2n0aD,msa_t__ShallowMsa_003.npy,0.13,0.21,003
2kkwA_2n0aD,msa_t__ShallowMsa_002.npy,0.37,0.19,002
2kkwA_2n0aD,msa_t__ShallowMsa_016.npy,0.05,0.05,016
2kkwA_2n0aD,msa_t__ShallowMsa_012.npy,0.2,0,012
2kkwA_2n0aD,msa_t__ShallowMsa_006.npy,0.19,0.02,006
2kkwA_2n0aD,msa_t__ShallowMsa_007.npy,0.22,0.14,007
2kkwA_2n0aD,msa_t__ShallowMsa_013.npy,0.1,0.02,013
2kkwA_2n0aD,msa_t__ShallowMsa_005.npy,0.24,0.07,005
2kkwA_2n0aD,msa_t__ShallowMsa_011.npy,0.08,0.17,011
2kkwA_2n0aD,msa_t__ShallowMsa_010.npy,0.1,0.12,010
2kkwA_2n0aD,msa_t__ShallowMsa_004.npy,0.31,0.21,004
2kkwA_2n0aD,msa_t__ShallowMsa_009.npy,0.17,0.05,009
2kkwA_2n0aD,msa_t__ShallowMsa_008.npy,0.14,0.21,008
3m7pA_3ejhA,msa_t__ShallowMsa_000.npy,0.1,0.08,000
3m7pA_3ejhA,msa_t__ShallowMsa_001.npy,0.08,0.1,001
3m7pA_3ejhA,msa_t__ShallowMsa_003.npy,0.08,0.07,003
3m7pA_3ejhA,msa_t__ShallowMsa_002.npy,0.01,0.01,002
3m7pA_3ejhA,msa_t__ShallowMsa_006.npy,0.01,0.02,006
3m7pA_3ejhA,msa_t__ShallowMsa_005.npy,0.05,0.04,005
3m7pA_3ejhA,msa_t__ShallowMsa_004.npy,0.02,0.02,004
2lepA_4hddA,msa_t__ShallowMsa_000.npy,0.35,0.03,000
2lepA_4hddA,msa_t__ShallowMsa_014.npy,0.28,0,014
2lepA_4hddA,msa_t__ShallowMsa_028.npy,0.33,0.03,028
2lepA_4hddA,msa_t__ShallowMsa_029.npy,0.31,0,029
2lepA_4hddA,msa_t__ShallowMsa_015.npy,0.2,0.03,015
2lepA_4hddA,msa_t__ShallowMsa_001.npy,0.24,0.03,001
2lepA_4hddA,msa_t__ShallowMsa_017.npy,0.31,0.01,017
2lepA_4hddA,msa_t__ShallowMsa_003.npy,0.22,0.06,003
2lepA_4hddA,msa_t__ShallowMsa_002.npy,0.16,0.06,002
2lepA_4hddA,msa_t__ShallowMsa_016.npy,0.12,0.06,016
2lepA_4hddA,msa_t__ShallowMsa_012.npy,0.14,0,012
2lepA_4hddA,msa_t__ShallowMsa_006.npy,0.22,0.03,006
2lepA_4hddA,msa_t__ShallowMsa_007.npy,0.17,0.06,007
2lepA_4hddA,msa_t__ShallowMsa_013.npy,0.12,0.03,013
2lepA_4hddA,msa_t__ShallowMsa_005.npy,0.22,0,005
2lepA_4hddA,msa_t__ShallowMsa_011.npy,0.01,0,011
2lepA_4hddA,msa_t__ShallowMsa_010.npy,0.18,0,010
2lepA_4hddA,msa_t__ShallowMsa_004.npy,0.23,0,004
2lepA_4hddA,msa_t__ShallowMsa_021.npy,0.35,0.06,021
2lepA_4hddA,msa_t__ShallowMsa_009.npy,0.17,0,009
2lepA_4hddA,msa_t__ShallowMsa_008.npy,0.2,0,008
2lepA_4hddA,msa_t__ShallowMsa_034.npy,0.25,0.03,034
2lepA_4hddA,msa_t__ShallowMsa_020.npy,0.23,0.03,020
2lepA_4hddA,msa_t__ShallowMsa_022.npy,0.32,0.03,022
2lepA_4hddA,msa_t__ShallowMsa_023.npy,0.31,0.03,023
2lepA_4hddA,msa_t__ShallowMsa_033.npy,0.29,0,033
2lepA_4hddA,msa_t__ShallowMsa_027.npy,0.28,0.07,027
2lepA_4hddA,msa_t__ShallowMsa_026.npy,0.33,0,026
2lepA_4hddA,msa_t__ShallowMsa_032.npy,0.35,0.08,032
2lepA_4hddA,msa_t__ShallowMsa_018.npy,0.39,0.03,018
2lepA_4hddA,msa_t__ShallowMsa_024.npy,0.25,0.03,024
2lepA_4hddA,msa_t__ShallowMsa_030.npy,0.23,0,030
2lepA_4hddA,msa_t__ShallowMsa_031.npy,0.38,0,031
2lepA_4hddA,msa_t__ShallowMsa_025.npy,0.33,0,025
2lepA_4hddA,msa_t__ShallowMsa_019.npy,0.33,0.06,019
2vfxL_3gmhL,msa_t__ShallowMsa_000.npy,0.09,0.05,000
2vfxL_3gmhL,msa_t__ShallowMsa_014.npy,0.06,0.04,014
2vfxL_3gmhL,msa_t__ShallowMsa_015.npy,0.05,0.03,015
2vfxL_3gmhL,msa_t__ShallowMsa_001.npy,0.08,0.06,001
2vfxL_3gmhL,msa_t__ShallowMsa_017.npy,0.01,0.01,017
2vfxL_3gmhL,msa_t__ShallowMsa_003.npy,0.05,0.07,003
2vfxL_3gmhL,msa_t__ShallowMsa_002.npy,0.04,0.04,002
2vfxL_3gmhL,msa_t__ShallowMsa_016.npy,0.07,0.06,016
2vfxL_3gmhL,msa_t__ShallowMsa_012.npy,0.1,0.04,012
2vfxL_3gmhL,msa_t__ShallowMsa_006.npy,0.02,0.02,006
2vfxL_3gmhL,msa_t__ShallowMsa_007.npy,0.07,0.06,007
2vfxL_3gmhL,msa_t__ShallowMsa_013.npy,0.02,0.03,013
2vfxL_3gmhL,msa_t__ShallowMsa_005.npy,0.08,0.05,005
2vfxL_3gmhL,msa_t__ShallowMsa_011.npy,0.04,0.03,011
2vfxL_3gmhL,msa_t__ShallowMsa_010.npy,0.07,0.04,010
2vfxL_3gmhL,msa_t__ShallowMsa_004.npy,0.1,0.07,004
2vfxL_3gmhL,msa_t__ShallowMsa_021.npy,0.03,0.03,021
2vfxL_3gmhL,msa_t__ShallowMsa_009.npy,0.04,0.04,009
2vfxL_3gmhL,msa_t__ShallowMsa_008.npy,0.02,0.04,008
2vfxL_3gmhL,msa_t__ShallowMsa_020.npy,0.03,0.03,020
2vfxL_3gmhL,msa_t__ShallowMsa_022.npy,0.02,0.04,022
2vfxL_3gmhL,msa_t__ShallowMsa_018.npy,0.05,0.05,018
2vfxL_3gmhL,msa_t__ShallowMsa_019.npy,0.06,0.05,019
5c3iF_3kuyA,msa_t__ShallowMsa_000.npy,0.21,0.11,000
5c3iF_3kuyA,msa_t__ShallowMsa_014.npy,0,0.02,014
5c3iF_3kuyA,msa_t__ShallowMsa_028.npy,0.09,0.12,028
5c3iF_3kuyA,msa_t__ShallowMsa_029.npy,0.03,0.03,029
5c3iF_3kuyA,msa_t__ShallowMsa_015.npy,0.22,0.16,015
5c3iF_3kuyA,msa_t__ShallowMsa_001.npy,0.22,0.11,001
5c3iF_3kuyA,msa_t__ShallowMsa_017.npy,0.03,0.04,017
5c3iF_3kuyA,msa_t__ShallowMsa_003.npy,0.21,0.06,003
5c3iF_3kuyA,msa_t__ShallowMsa_002.npy,0.27,0.07,002
5c3iF_3kuyA,msa_t__ShallowMsa_016.npy,0.04,0.09,016
5c3iF_3kuyA,msa_t__ShallowMsa_012.npy,0.19,0.1,012
5c3iF_3kuyA,msa_t__ShallowMsa_006.npy,0.03,0.11,006
5c3iF_3kuyA,msa_t__ShallowMsa_007.npy,0.06,0.04,007
5c3iF_3kuyA,msa_t__ShallowMsa_013.npy,0.12,0.06,013
5c3iF_3kuyA,msa_t__ShallowMsa_039.npy,0.1,0.14,039
5c3iF_3kuyA,msa_t__ShallowMsa_005.npy,0.21,0.1,005
5c3iF_3kuyA,msa_t__ShallowMsa_011.npy,0.16,0.07,011
5c3iF_3kuyA,msa_t__ShallowMsa_010.npy,0.27,0.05,010
5c3iF_3kuyA,msa_t__ShallowMsa_004.npy,0,0.01,004
5c3iF_3kuyA,msa_t__ShallowMsa_038.npy,0.03,0.09,038
5c3iF_3kuyA,msa_t__ShallowMsa_042.npy,0.03,0.05,042
5c3iF_3kuyA,msa_t__ShallowMsa_043.npy,0.06,0.12,043
5c3iF_3kuyA,msa_t__ShallowMsa_041.npy,0.04,0.01,041
5c3iF_3kuyA,msa_t__ShallowMsa_040.npy,0.03,0.04,040
5c3iF_3kuyA,msa_t__ShallowMsa_044.npy,0.04,0,044
5c3iF_3kuyA,msa_t__ShallowMsa_045.npy,0.03,0.07,045
5c3iF_3kuyA,msa_t__ShallowMsa_047.npy,0.04,0.04,047
5c3iF_3kuyA,msa_t__ShallowMsa_046.npy,0.04,0.01,046
5c3iF_3kuyA,msa_t__ShallowMsa_021.npy,0.15,0.11,021
5c3iF_3kuyA,msa_t__ShallowMsa_035.npy,0.07,0.08,035
5c3iF_3kuyA,msa_t__ShallowMsa_009.npy,0.28,0.09,009
5c3iF_3kuyA,msa_t__ShallowMsa_008.npy,0.04,0.06,008
5c3iF_3kuyA,msa_t__ShallowMsa_034.npy,0,0,034
5c3iF_3kuyA,msa_t__ShallowMsa_020.npy,0.12,0.11,020
5c3iF_3kuyA,msa_t__ShallowMsa_036.npy,0.03,0.05,036
5c3iF_3kuyA,msa_t__ShallowMsa_022.npy,0.1,0.06,022
5c3iF_3kuyA,msa_t__ShallowMsa_023.npy,0.04,0.03,023
5c3iF_3kuyA,msa_t__ShallowMsa_037.npy,0.12,0.05,037
5c3iF_3kuyA,msa_t__ShallowMsa_033.npy,0.04,0.07,033
5c3iF_3kuyA,msa_t__ShallowMsa_027.npy,0.09,0.1,027
5c3iF_3kuyA,msa_t__ShallowMsa_026.npy,0.18,0.14,026
5c3iF_3kuyA,msa_t__ShallowMsa_032.npy,0.21,0.08,032
5c3iF_3kuyA,msa_t__ShallowMsa_018.npy,0.22,0.08,018
